Step,Value
0,18118.836
1,14871.662
2,14381.219
3,12224.514
4,8809.299
5,6489.3647
6,5704.008
7,4657.097
8,3889.3174
9,2839.4673
10,2467.8452
11,2393.242
12,2159.0974
13,2159.0974
14,2132.8594
15,1834.6234
16,1678.852
17,1587.0641
18,1373.2378
19,1221.915
20,1214.3524
21,1115.4174
22,1051.3231
23,985.7339
24,872.93054
25,833.8539
26,799.7629
27,732.06366
28,698.565
29,628.9239
30,592.2056
31,545.73346
32,516.5817
33,474.55353
34,450.63602
35,416.52005
36,399.67712
37,377.49973
38,359.91132
39,347.33502
40,335.32907
41,325.14996
42,317.5207
43,309.07004
44,303.26764
45,297.7847
46,293.59576
47,291.15137
48,288.2154
49,285.7614
50,283.6683
51,281.3844
52,279.46182
53,277.77972
54,276.036
55,274.9642
56,273.75574
57,272.71405
58,271.81613
59,271.21
60,270.39838
61,269.82205
62,269.27554
63,268.6131
64,268.20898
65,267.6055
66,267.16263
67,266.76785
68,266.33377
69,265.9155
70,265.61414
71,265.31277
72,265.00775
73,264.75156
74,264.58
75,264.32907
76,264.15936
77,263.9787
78,263.80096
79,263.6473
80,263.4786
81,263.33533
82,263.22266
83,263.0785
84,262.97568
85,262.9003
86,262.78473
87,262.71127
88,262.59814
89,262.50864
90,262.42798
91,262.36435
92,262.28284
93,262.20462
94,262.13144
95,262.05783
96,262.0098
97,261.95322
98,261.89905
99,261.8521
100,261.80423
101,261.76605
102,261.73257
103,261.69644
104,261.66406
105,261.63852
106,261.61496
107,261.58896
108,261.56802
109,261.54617
110,261.52423
111,261.5073
112,261.48285
113,261.46823
114,261.45035
115,261.4322
116,261.41653
117,261.40128
118,261.3776
119,261.35825
120,261.3392
121,261.32104
122,261.2984
123,261.27042
124,261.25363
125,261.23282
126,261.21002
127,261.19598
128,261.1771
129,261.15143
130,261.13522
131,261.11472
132,261.0939
133,261.0768
134,261.05783
135,261.04013
136,261.0218
137,261.00134
138,260.9816
139,260.95694
140,260.93808
141,260.9131
142,260.8869
143,260.86063
144,260.84152
145,260.81195
146,260.7835
147,260.7561
148,260.72845
149,260.70624
150,260.68228
151,260.6569
152,260.63428
153,260.6099
154,260.57935
155,260.55328
156,260.5328
157,260.50256
158,260.47195
159,260.45175
160,260.42914
161,260.4105
162,260.38815
163,260.3548
164,260.33478
165,260.31015
166,260.281
167,260.25955
168,260.23065
169,260.1847
170,260.14893
171,260.11972
172,260.0745
173,260.0255
174,259.9604
175,259.92108
176,259.86325
177,259.80936
178,259.73892
179,259.6731
180,259.61823
181,259.56796
182,259.47852
183,259.41107
184,259.36896
185,259.3044
186,259.2569
187,259.20215
188,259.1529
189,259.09036
190,259.05286
191,259.01132
192,258.95047
193,258.89487
194,258.85956
195,258.79504
196,258.74664
197,258.7155
198,258.65594
199,258.615
200,258.55832
201,258.50815
202,258.4699
203,258.4231
204,258.3821
205,258.33572
206,258.28125
207,258.24503
208,258.2098
209,258.15933
210,258.1225
211,258.04047
212,257.98843
213,257.93582
214,257.8768
215,257.81717
216,257.76147
217,257.6777
218,257.6197
219,257.54907
220,257.4845
221,257.40845
222,257.3563
223,257.29916
224,257.24097
225,257.16266
226,257.08875
227,257.0331
228,256.95706
229,256.90027
230,256.8235
231,256.76727
232,256.71616
233,256.6624
234,256.58206
235,256.49265
236,256.439
237,256.3192
238,256.19974
239,256.11932
240,256.02704
241,255.94011
242,255.83661
243,255.75107
244,255.6814
245,255.6109
246,255.5411
247,255.47684
248,255.41861
249,255.3451
250,255.29793
251,255.2519
252,255.19812
253,255.14354
254,255.10526
255,255.0572
256,255.01883
257,254.96744
258,254.927
259,254.8969
260,254.8579
261,254.83022
262,254.78867
263,254.76122
264,254.72583
265,254.69821
266,254.66283
267,254.62366
268,254.57999
269,254.54227
270,254.49944
271,254.46043
272,254.4291
273,254.3836
274,254.34712
275,254.31444
276,254.27933
277,254.25197
278,254.20674
279,254.17828
280,254.13962
281,254.11107
282,254.07806
283,254.04851
284,254.0238
285,253.99689
286,253.96718
287,253.94028
288,253.90732
289,253.87077
290,253.84795
291,253.81927
292,253.79495
293,253.77177
294,253.74718
295,253.72462
296,253.70749
297,253.68903
298,253.6711
299,253.65599
300,253.63693
301,253.61453
302,253.59575
303,253.57892
304,253.56183
305,253.54375
306,253.5283
307,253.512
308,253.4962
309,253.48123
310,253.46666
311,253.45294
312,253.43967
313,253.42607
314,253.41008
315,253.39967
316,253.3873
317,253.37828
318,253.3643
319,253.3512
320,253.33995
321,253.32845
322,253.31517
323,253.29845
324,253.28618
325,253.27188
326,253.25935
327,253.2448
328,253.23256
329,253.21944
330,253.19827
331,253.18208
332,253.16428
333,253.14873
334,253.13254
335,253.1101
336,253.08984
337,253.0672
338,253.04738
339,253.01976
340,252.99722
341,252.9753
342,252.95049
343,252.9316
344,252.8927
345,252.86136
346,252.83693
347,252.80789
348,252.7774
349,252.74213
350,252.7187
351,252.69214
352,252.66484
353,252.64282
354,252.61635
355,252.59238
356,252.57755
357,252.55966
358,252.5381
359,252.51886
360,252.5015
361,252.4849
362,252.46803
363,252.45056
364,252.43866
365,252.42026
366,252.40527
367,252.38838
368,252.36476
369,252.34811
370,252.32487
371,252.30078
372,252.2813
373,252.25871
374,252.23961
375,252.22328
376,252.20782
377,252.18584
378,252.1669
379,252.15251
380,252.13249
381,252.11816
382,252.10431
383,252.08978
384,252.0798
385,252.069
386,252.05789
387,252.04619
388,252.03615
389,252.02705
390,252.01735
391,252.0096
392,252.00153
393,251.99626
394,251.98633
395,251.97919
396,251.97475
397,251.96823
398,251.96278
399,251.95729
400,251.95114
401,251.94547
402,251.93573
403,251.92317
404,251.91562
405,251.90465
406,251.89474
407,251.88243
408,251.87505
409,251.86256
410,251.85115
411,251.84099
412,251.83066
413,251.82031
414,251.80782
415,251.79814
416,251.78737
417,251.77539
418,251.76152
419,251.7532
420,251.73938
421,251.72932
422,251.71617
423,251.70654
424,251.69293
425,251.68324
426,251.67331
427,251.66132
428,251.65175
429,251.64143
430,251.63223
431,251.62422
432,251.6095
433,251.59659
434,251.5861
435,251.5764
436,251.56157
437,251.55067
438,251.53947
439,251.52832
440,251.51732
441,251.50757
442,251.49971
443,251.48857
444,251.4771
445,251.46663
446,251.45879
447,251.44711
448,251.43729
449,251.42438
450,251.41554
451,251.40515
452,251.39702
453,251.38367
454,251.37393
455,251.36629
456,251.35368
457,251.34523
458,251.33482
459,251.32645
460,251.3153
461,251.30313
462,251.2958
463,251.28773
464,251.27417
465,251.25763
466,251.2454
467,251.22987
468,251.22002
469,251.20374
470,251.18913
471,251.17676
472,251.15761
473,251.13513
474,251.10535
475,251.0875
476,251.06186
477,251.03749
478,251.01216
479,250.98734
480,250.95534
481,250.93085
482,250.8977
483,250.86755
484,250.83582
485,250.8094
486,250.77536
487,250.74237
488,250.71532
489,250.68327
490,250.65356
491,250.60455
492,250.57516
493,250.53712
494,250.49686
495,250.45753
496,250.41663
497,250.37862
498,250.34395
499,250.30002
500,250.26587
501,250.24199
502,250.21269
503,250.18791
504,250.16661
505,250.1368
506,250.11758
507,250.08972
508,250.06438
509,250.04155
510,250.02003
511,249.98851
512,249.96397
513,249.94304
514,249.9201
515,249.89905
516,249.88033
517,249.86206
518,249.84407
519,249.83022
520,249.80635
521,249.78903
522,249.7723
523,249.75241
524,249.73183
525,249.7094
526,249.69153
527,249.66957
528,249.64815
529,249.62514
530,249.60612
531,249.5858
532,249.56184
533,249.54236
534,249.51471
535,249.49811
536,249.47777
537,249.45267
538,249.42934
539,249.40875
540,249.38272
541,249.36325
542,249.34093
543,249.31903
544,249.29877
545,249.27678
546,249.25328
547,249.22224
548,249.20325
549,249.17917
550,249.1522
551,249.12418
552,249.0962
553,249.07683
554,249.04568
555,249.02286
556,249.0045
557,248.9728
558,248.94789
559,248.92717
560,248.9061
561,248.88434
562,248.86427
563,248.8447
564,248.82414
565,248.80609
566,248.79213
567,248.75206
568,248.72261
569,248.69666
570,248.66525
571,248.62923
572,248.59177
573,248.55211
574,248.517
575,248.49146
576,248.45786
577,248.42747
578,248.40067
579,248.3728
580,248.35089
581,248.3256
582,248.30605
583,248.28615
584,248.2677
585,248.2526
586,248.23526
587,248.22284
588,248.20811
589,248.19398
590,248.18044
591,248.16467
592,248.14688
593,248.13618
594,248.12152
595,248.11151
596,248.0992
597,248.08861
598,248.07204
599,248.06195
600,248.04901
601,248.03648
602,248.02061
603,248.00089
604,247.98714
605,247.96974
606,247.95845
607,247.93915
608,247.92386
609,247.90584
610,247.895
611,247.8792
612,247.86456
613,247.8506
614,247.83055
615,247.81424
616,247.79897
617,247.7869
618,247.76714
619,247.75365
620,247.73293
621,247.71428
622,247.70119
623,247.68387
624,247.66615
625,247.65166
626,247.63524
627,247.61281
628,247.59755
629,247.57751
630,247.56122
631,247.544
632,247.52686
633,247.51154
634,247.4972
635,247.46538
636,247.44366
637,247.4265
638,247.39984
639,247.37091
640,247.33934
641,247.31375
642,247.28195
643,247.24854
644,247.22012
645,247.18954
646,247.15771
647,247.13242
648,247.10327
649,247.07494
650,247.04276
651,247.02213
652,246.97844
653,246.93947
654,246.91608
655,246.86494
656,246.83305
657,246.79305
658,246.74702
659,246.70663
660,246.66267
661,246.61559
662,246.57355
663,246.53181
664,246.48293
665,246.43079
666,246.38405
667,246.33499
668,246.29207
669,246.23547
670,246.18658
671,246.14378
672,246.08458
673,246.03383
674,245.97963
675,245.92328
676,245.88551
677,245.83694
678,245.78549
679,245.71944
680,245.65648
681,245.61873
682,245.55698
683,245.49055
684,245.44592
685,245.38115
686,245.31767
687,245.26663
688,245.21175
689,245.13794
690,245.0656
691,244.99178
692,244.94034
693,244.88112
694,244.79993
695,244.7247
696,244.66414
697,244.61192
698,244.53996
699,244.48494
700,244.41803
701,244.34624
702,244.27104
703,244.20427
704,244.13438
705,244.0747
706,243.9876
707,243.91994
708,243.85628
709,243.78816
710,243.70071
711,243.61353
712,243.55466
713,243.46866
714,243.39925
715,243.3359
716,243.26393
717,243.1854
718,243.10683
719,243.02548
720,242.93161
721,242.82953
722,242.72395
723,242.61484
724,242.50108
725,242.36163
726,242.27803
727,242.1594
728,242.04895
729,241.97368
730,241.87285
731,241.77802
732,241.67688
733,241.5935
734,241.48497
735,241.40062
736,241.31122
737,241.21317
738,241.11253
739,241.00967
740,240.92192
741,240.84395
742,240.75966
743,240.66336
744,240.54822
745,240.44656
746,240.3624
747,240.25363
748,240.12776
749,239.984
750,239.88544
751,239.77565
752,239.68474
753,239.5832
754,239.48819
755,239.41486
756,239.35117
757,239.27583
758,239.19951
759,239.13852
760,239.07692
761,239.02701
762,238.97786
763,238.92035
764,238.85307
765,238.79823
766,238.74362
767,238.68217
768,238.62605
769,238.5649
770,238.50163
771,238.44792
772,238.3821
773,238.3283
774,238.2699
775,238.2216
776,238.18126
777,238.14587
778,238.09966
779,238.06937
780,238.04033
781,238.01036
782,237.97589
783,237.94554
784,237.90382
785,237.86299
786,237.83554
787,237.80325
788,237.77269
789,237.72467
790,237.68456
791,237.65425
792,237.61638
793,237.57932
794,237.54683
795,237.51245
796,237.48196
797,237.45386
798,237.4309
799,237.40688
800,237.3846
801,237.36552
802,237.33507
803,237.30879
804,237.27557
805,237.25528
806,237.22325
807,237.2017
808,237.18102
809,237.14522
810,237.11925
811,237.08475
812,237.0468
813,237.0117
814,236.97852
815,236.93643
816,236.90173
817,236.85722
818,236.8217
819,236.7736
820,236.73907
821,236.69983
822,236.66754
823,236.63438
824,236.60155
825,236.57906
826,236.55351
827,236.51721
828,236.4914
829,236.46265
830,236.43835
831,236.39563
832,236.36334
833,236.34169
834,236.30045
835,236.26967
836,236.23616
837,236.19135
838,236.1585
839,236.11716
840,236.08154
841,236.0493
842,236.0121
843,235.96297
844,235.92326
845,235.8847
846,235.8457
847,235.81122
848,235.7682
849,235.71785
850,235.68195
851,235.64536
852,235.60158
853,235.55986
854,235.50758
855,235.46147
856,235.42178
857,235.36891
858,235.29962
859,235.22957
860,235.16504
861,235.10796
862,235.01509
863,234.93106
864,234.86867
865,234.78323
866,234.70639
867,234.63286
868,234.56241
869,234.5075
870,234.43622
871,234.37663
872,234.32808
873,234.25288
874,234.20634
875,234.14131
876,234.06956
877,234.00545
878,233.94516
879,233.88976
880,233.8389
881,233.78908
882,233.73697
883,233.69705
884,233.66006
885,233.61377
886,233.57365
887,233.5295
888,233.48874
889,233.45667
890,233.4228
891,233.39128
892,233.3644
893,233.33676
894,233.31245
895,233.28105
896,233.2543
897,233.22823
898,233.20222
899,233.16986
900,233.13535
901,233.09863
902,233.06831
903,233.01736
904,232.98682
905,232.95413
906,232.92088
907,232.89333
908,232.85855
909,232.82124
910,232.78049
911,232.73814
912,232.7075
913,232.67204
914,232.6361
915,232.60614
916,232.57373
917,232.54109
918,232.5199
919,232.489
920,232.45805
921,232.41803
922,232.37851
923,232.35178
924,232.31879
925,232.29059
926,232.26454
927,232.23723
928,232.21387
929,232.19255
930,232.16716
931,232.1435
932,232.12056
933,232.09827
934,232.07484
935,232.05164
936,232.03046
937,232.00949
938,231.99237
939,231.9749
940,231.9565
941,231.92566
942,231.89792
943,231.86018
944,231.83304
945,231.80034
946,231.76913
947,231.74709
948,231.71074
949,231.68765
950,231.66045
951,231.6337
952,231.60934
953,231.57806
954,231.55116
955,231.52608
956,231.50107
957,231.47717
958,231.4511
959,231.4228
960,231.39554
961,231.367
962,231.33707
963,231.31572
964,231.28854
965,231.2679
966,231.24118
967,231.2188
968,231.19597
969,231.17636
970,231.1472
971,231.12285
972,231.10088
973,231.07535
974,231.047
975,231.02348
976,231.0021
977,230.97594
978,230.95647
979,230.9311
980,230.9148
981,230.8922
982,230.87535
983,230.85373
984,230.83632
985,230.81447
986,230.79596
987,230.77167
988,230.74936
989,230.72838
990,230.70494
991,230.68098
992,230.66176
993,230.6433
994,230.62483
995,230.60075
996,230.58507
997,230.56468
998,230.54893
999,230.52728
1000,230.50658
1001,230.48967
1002,230.47076
1003,230.44072
1004,230.41711
1005,230.3988
1006,230.37543
1007,230.35104
1008,230.32498
1009,230.29236
1010,230.25682
1011,230.23264
1012,230.19861
1013,230.16316
1014,230.1368
1015,230.08444
1016,230.05212
1017,230.0148
1018,229.98192
1019,229.94289
1020,229.90616
1021,229.86977
1022,229.8414
1023,229.81047
1024,229.77068
1025,229.74551
1026,229.71004
1027,229.68645
1028,229.65303
1029,229.62445
1030,229.59196
1031,229.56874
1032,229.53001
1033,229.50114
1034,229.46811
1035,229.42847
1036,229.39915
1037,229.36038
1038,229.32585
1039,229.27333
1040,229.23209
1041,229.2002
1042,229.15454
1043,229.11722
1044,229.06784
1045,229.01834
1046,228.96533
1047,228.92517
1048,228.86298
1049,228.81485
1050,228.76263
1051,228.70827
1052,228.64154
1053,228.5993
1054,228.51547
1055,228.45403
1056,228.40768
1057,228.33607
