Step,Value
0,24620.969
1,24620.969
2,24620.969
3,24620.969
4,24620.969
5,24620.969
6,24620.969
7,6501.7666
8,6501.7666
9,6501.7666
10,6501.7666
11,6501.7666
12,6501.7666
13,6501.7666
14,6501.7666
15,6501.7666
16,6501.7666
17,6501.7666
18,6501.7666
19,6501.7666
20,6501.7666
21,6501.7666
22,6501.7666
23,6501.7666
24,6501.7666
25,6501.7666
26,6501.7666
27,6501.7666
28,6501.7666
29,6501.7666
30,6501.7666
31,6501.7666
32,6501.7666
33,6501.7666
34,6501.7666
35,6501.7666
36,6501.7666
37,6501.7666
38,6501.7666
39,6501.7666
40,6501.7666
41,6501.7666
42,6501.7666
43,6501.7666
44,6501.7666
45,6501.7666
46,6501.7666
47,6501.7666
48,6501.7666
49,6501.7666
50,6501.7666
51,6501.7666
52,6501.7666
53,6501.7666
54,6501.7666
55,6501.7666
56,6501.7666
57,6501.7666
58,6501.7666
59,6501.7666
60,6501.7666
61,6501.7666
62,6501.7666
63,6501.7666
64,6501.7666
65,6501.7666
66,6501.7666
67,6501.7666
68,6501.7666
69,6501.7666
70,6501.7666
71,4438.605
72,4176.134
73,4176.134
74,4176.134
75,4176.134
76,4176.134
77,3957.7786
78,3723.3179
79,2846.1396
80,2846.1396
81,2846.1396
82,2846.1396
83,2711.6255
84,2424.793
85,2424.793
86,2346.8638
87,2323.449
88,2323.449
89,2323.449
90,2323.449
91,2253.0452
92,2208.2527
93,2187.382
94,2178.4836
95,2175.4614
96,2175.179
97,1986.7076
98,1986.7076
99,1986.7076
100,1423.8495
101,1423.8495
102,1266.2211
103,1137.7356
104,928.13666
105,900.54944
106,900.54944
107,900.54944
108,900.54944
109,900.54944
110,894.30615
111,834.8113
112,806.72345
113,806.72345
114,714.2561
115,679.2888
116,560.71466
117,560.71466
118,539.79553
119,529.724
120,495.3782
121,437.3569
122,424.362
123,393.3346
124,357.31116
125,321.58978
126,280.42874
127,247.05461
128,195.20508
129,195.20508
130,178.33366
131,178.33366
132,178.33366
133,170.53711
134,164.84859
135,164.84859
136,160.90874
137,160.90874
138,160.90874
139,132.47327
140,125.03206
141,118.73529
142,104.36808
143,101.33321
144,101.33321
145,100.32622
146,86.33489
147,82.87733
148,71.63867
149,67.64446
150,67.64446
151,64.42105
152,58.978947
153,53.777565
154,48.656895
155,43.47949
156,39.759357
157,28.614977
158,28.614977
159,28.46411
160,27.360504
161,23.52331
162,21.02123
163,18.016066
164,17.391527
165,17.391527
166,15.046967
167,14.002459
168,12.371187
169,10.051791
170,8.555445
171,7.8675013
172,6.7309756
173,6.7309756
174,5.7973013
175,4.775998
176,4.377883
177,4.2808547
178,3.4710596
179,3.4710596
180,3.4710596
181,3.2203803
182,3.2203803
183,2.9708529
184,2.8303137
185,2.4694865
186,2.3193784
187,1.7719162
188,1.6577939
189,1.6308656
190,1.5182564
191,1.4703662
192,1.3654629
193,1.2937579
194,1.266452
195,1.1845204
196,1.017109
197,0.84850085
198,0.6440806
199,0.48867968
200,0.41692045
201,0.3306696
202,0.3042289
203,0.2462598
204,0.20820142
205,0.18882841
206,0.16809446
207,0.15691324
208,0.14448105
209,0.1318831
210,0.123825945
211,0.11309395
212,0.10847973
213,0.09414497
214,0.08892729
215,0.08892729
216,0.08285392
217,0.081178956
218,0.08068878
219,0.07867211
220,0.07763867
221,0.07641039
222,0.07117215
223,0.06441285
224,0.061063927
225,0.05723643
226,0.05431216
227,0.052141033
228,0.048891664
229,0.045212276
230,0.04292075
231,0.032597397
232,0.03026975
233,0.026160743
234,0.025956826
235,0.023534467
236,0.022558061
237,0.02054891
238,0.018643038
239,0.017924374
240,0.017258588
241,0.017258588
242,0.015733117
243,0.014909886
244,0.014466036
245,0.014466036
246,0.0142956255
247,0.01396368
248,0.013759084
249,0.013736029
250,0.0136190485
251,0.0136190485
252,0.0136190485
253,0.013554095
254,0.013478311
255,0.013437609
256,0.013306384
257,0.013242984
258,0.013123739
259,0.013042132
260,0.012940174
261,0.012861513
262,0.01279727
263,0.012714623
264,0.012615587
265,0.012531931
266,0.012430689
267,0.0123414695
268,0.012242531
269,0.012124856
270,0.012006169
271,0.011891259
272,0.0117816245
273,0.011664533
274,0.011525964
275,0.011353079
276,0.011194469
277,0.011022966
278,0.0108315945
279,0.010626894
280,0.010397818
281,0.010145827
282,0.009920183
283,0.009687669
284,0.009275424
285,0.008929957
286,0.008551487
287,0.008002534
288,0.007477952
289,0.0069179954
290,0.0063264943
291,0.005565903
292,0.00508106
293,0.0044171237
294,0.003757176
295,0.00316925
296,0.002796555
297,0.0027204147
298,0.0027204147
299,0.0027203525
