Step,Value
0,4075154.8
1,2789349.0
2,882638.4
3,882638.4
4,882638.4
5,882638.4
6,882638.4
7,882638.4
8,552703.7
9,552703.7
10,552703.7
11,552703.7
12,552703.7
13,552703.7
14,121899.66
15,78446.84
16,78446.84
17,78446.84
18,59750.66
19,59750.66
20,17600.404
21,17600.404
22,17600.404
23,17600.404
24,17600.404
25,17600.404
26,17600.404
27,17600.404
28,7550.305
29,7550.305
30,7550.305
31,7550.305
32,7550.305
33,7550.305
34,7550.305
35,7550.305
36,7550.305
37,7550.305
38,7550.305
39,7550.305
40,7550.305
41,7550.305
42,7550.305
43,7550.305
44,7550.305
45,7550.305
46,7550.305
47,7550.305
48,7550.305
49,7550.305
50,7550.305
51,7550.305
52,6543.691
53,6543.691
54,6543.691
55,6543.691
56,6543.691
57,1815.6041
58,1815.6041
59,1815.6041
60,1815.6041
61,1815.6041
62,156.44156
63,156.44156
64,156.44156
65,156.44156
66,156.44156
67,156.44156
68,156.44156
69,156.44156
70,156.44156
71,156.44156
72,156.44156
73,156.44156
74,156.44156
75,156.44156
76,156.44156
77,156.44156
78,156.44156
79,123.16049
80,123.16049
81,123.16049
82,123.16049
83,123.16049
84,123.16049
85,89.46413
86,89.46413
87,89.46413
88,25.639126
89,25.639126
90,25.639126
91,25.639126
92,4.6600027
93,4.6600027
94,4.6600027
95,4.6600027
96,4.6600027
97,4.6600027
98,4.6600027
99,4.6600027
100,4.6600027
101,4.6600027
102,4.6600027
103,4.6600027
104,4.6600027
105,4.6600027
106,4.6600027
107,4.6600027
108,4.6600027
109,4.6600027
110,4.2269573
111,4.2269573
112,4.2269573
113,4.2187505
114,4.2187505
115,4.2187505
116,4.2187505
117,3.427328
118,3.427328
119,1.1378683
120,1.1378683
121,1.1378683
122,0.96878433
123,0.5624809
124,0.5624809
125,0.5624809
126,0.5624809
127,0.5624809
128,0.5624809
129,0.5624809
130,0.5624809
131,0.5624809
132,0.10552967
133,0.10552967
134,0.10552967
135,0.10552967
136,0.10552967
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
