Step,Value
0,15097.167
1,15097.167
2,15082.347
3,14757.041
4,14500.07
5,14500.07
6,14500.07
7,14500.07
8,14500.07
9,14500.07
10,14500.07
11,14500.07
12,14500.07
13,14500.07
14,14500.07
15,14500.07
16,14500.07
17,14500.07
18,14500.07
19,14500.07
20,14500.07
21,14500.07
22,14500.07
23,14500.07
24,14500.07
25,14500.07
26,14500.07
27,14500.07
28,14500.07
29,14500.07
30,14500.07
31,14500.07
32,12147.355
33,12147.355
34,12147.355
35,12147.355
36,12147.355
37,12147.355
38,12147.355
39,12147.355
40,12147.355
41,10763.332
42,10763.332
43,10763.332
44,10763.332
45,10763.332
46,10763.332
47,10763.332
48,10763.332
49,10763.332
50,10763.332
51,10763.332
52,10763.332
53,10763.332
54,10763.332
55,10763.332
56,10763.332
57,10763.332
58,10763.332
59,10763.332
60,10763.332
61,10763.332
62,10763.332
63,9468.454
64,9468.454
65,9468.454
66,9468.454
67,9468.454
68,9468.454
69,9468.454
70,9468.454
71,9468.454
72,9468.454
73,9468.454
74,9468.454
75,9468.454
76,9468.454
77,9355.939
78,7561.882
79,7561.882
80,7533.259
81,7533.259
82,7533.259
83,7533.259
84,7533.259
85,7533.259
86,7246.617
87,4851.618
88,4851.618
89,3723.6055
90,3723.6055
91,3723.6055
92,3723.6055
93,3723.6055
94,3598.984
95,3598.984
96,3598.984
97,3503.6936
98,3503.6936
99,3099.0776
100,2884.376
101,2884.376
102,2756.8909
103,2675.8198
104,2375.067
105,2046.7996
106,2046.7996
107,1630.8026
108,1630.8026
109,1630.8026
110,1630.8026
111,1573.595
112,1573.595
113,1573.595
114,1573.595
115,1469.9354
116,1331.9974
117,1073.1442
118,970.00275
119,892.57654
120,892.57654
121,761.246
122,736.69086
123,583.1266
124,525.5818
125,441.9917
126,441.9917
127,331.90393
128,331.90393
129,329.36954
130,329.36954
131,322.79477
132,269.7932
133,269.7932
134,252.45044
135,211.24672
136,143.1483
137,143.1483
138,143.1483
139,138.50044
140,136.00746
141,126.94146
142,112.403305
143,92.995735
144,76.64475
145,76.64475
146,76.64475
147,76.64475
148,68.656876
149,49.57826
150,49.57826
151,44.672977
152,35.6199
153,20.198736
154,15.7989435
155,11.712882
156,10.924528
157,10.924528
158,10.924528
159,8.143773
160,7.445515
161,7.445515
162,6.0507355
163,5.708749
164,4.6751137
165,3.6288583
166,3.1351504
167,2.8484654
168,2.7903922
169,2.4404917
170,2.1220698
171,2.0175054
172,2.0175054
173,1.8511965
174,1.6010525
175,1.3723586
176,1.0547079
177,0.959799
178,0.959799
179,0.959799
180,0.7364539
181,0.42865634
182,0.42865634
183,0.41007844
184,0.37638864
185,0.29351002
186,0.2748016
187,0.2748016
188,0.25421944
189,0.23526047
190,0.19185573
191,0.19185573
192,0.16815035
193,0.14089115
194,0.12804557
195,0.11086415
196,0.104898
197,0.104898
198,0.104898
199,0.101010196
200,0.08522448
201,0.081996314
202,0.05797776
203,0.048552506
204,0.044107597
205,0.042485103
206,0.042067915
207,0.036209922
208,0.030687135
209,0.02705825
210,0.02302794
211,0.020230627
212,0.017306298
213,0.015594367
214,0.013006175
215,0.012736519
216,0.010722473
217,0.01044571
218,0.0076671704
219,0.0068536852
220,0.0065109236
221,0.0056743226
222,0.0050255028
223,0.004113204
224,0.0033722029
225,0.0029049653
226,0.002584056
227,0.0020464358
228,0.0017843399
229,0.0014957319
230,0.0013365264
231,0.0011465946
232,0.0010444893
233,9.103312E-4
234,8.0273795E-4
235,6.810185E-4
236,5.289668E-4
237,4.660182E-4
238,4.097793E-4
239,3.382728E-4
240,2.9832585E-4
241,2.3704655E-4
242,2.1803922E-4
243,2.046167E-4
244,1.8078738E-4
245,1.5827156E-4
246,1.3449679E-4
247,1.2257937E-4
248,1.1630175E-4
249,1.053935E-4
250,9.930368E-5
251,8.4738196E-5
252,7.5907155E-5
253,6.521976E-5
254,5.9044676E-5
255,5.3886575E-5
256,4.1795058E-5
257,3.7708276E-5
258,3.560869E-5
259,3.187737E-5
260,3.0249545E-5
261,2.8635784E-5
262,1.899785E-5
263,1.432804E-5
264,1.27944895E-5
265,1.0861665E-5
266,1.0861665E-5
267,1.0203583E-5
268,8.662451E-6
269,8.522787E-6
270,7.90158E-6
271,7.7235645E-6
272,7.5998696E-6
273,7.194556E-6
274,7.0490164E-6
275,6.835468E-6
276,6.575295E-6
277,6.197415E-6
278,5.673439E-6
279,5.1972497E-6
280,4.5788756E-6
281,3.9958845E-6
282,3.0509686E-6
283,2.5762406E-6
284,2.059321E-6
285,1.6189973E-6
286,1.2731928E-6
287,1.0868704E-6
288,9.915399E-7
289,9.775399E-7
290,9.746171E-7
291,9.681265E-7
292,9.4241636E-7
293,9.222937E-7
294,9.1895214E-7
295,9.113291E-7
296,9.036177E-7
297,8.9404546E-7
298,8.906656E-7
299,8.892466E-7
