Step,Value
0,7846.3115
1,6394.7437
2,5350.2603
3,5210.288
4,759.2369
5,759.2369
6,759.2369
7,759.2369
8,759.2369
9,759.2369
10,759.2369
11,759.2369
12,759.2369
13,759.2369
14,759.2369
15,759.2369
16,759.2369
17,759.2369
18,759.2369
19,759.2369
20,730.5513
21,730.5513
22,730.5513
23,730.5513
24,730.5513
25,730.5513
26,730.5513
27,730.5513
28,730.5513
29,730.5513
30,730.5513
31,730.5513
32,730.5513
33,730.5513
34,730.5513
35,730.5513
36,730.5513
37,730.5513
38,730.5513
39,717.5742
40,717.5742
41,717.5742
42,717.5742
43,717.5742
44,717.5742
45,717.5742
46,717.5742
47,717.5742
48,717.5742
49,717.5742
50,668.039
51,668.039
52,668.039
53,668.039
54,621.315
55,621.315
56,621.315
57,621.315
58,621.315
59,621.315
60,621.315
61,621.315
62,621.315
63,621.315
64,583.99805
65,537.45764
66,537.45764
67,537.45764
68,537.45764
69,535.73083
70,535.73083
71,535.73083
72,535.73083
73,535.73083
74,535.73083
75,487.5816
76,487.5816
77,487.5816
78,473.25974
79,473.25974
80,438.01025
81,437.5797
82,437.5797
83,437.5797
84,437.5797
85,376.8268
86,326.44092
87,304.2715
88,277.88385
89,277.88385
90,277.88385
91,264.90842
92,264.88037
93,256.6147
94,247.67647
95,199.41583
96,199.41583
97,177.64929
98,177.64929
99,148.30049
100,148.30049
101,90.25322
102,71.41755
103,71.41755
104,55.1096
105,55.1096
106,55.1096
107,47.712154
108,46.01922
109,46.01922
110,45.345688
111,45.188465
112,45.188465
113,45.188465
114,45.141083
115,39.431038
116,32.341515
117,31.873928
118,28.661425
119,28.661425
120,25.194492
121,20.798992
122,20.798992
123,19.987593
124,19.987593
125,17.856901
126,16.278328
127,14.298013
128,11.830043
129,10.548505
130,9.317754
131,7.9988904
132,7.9988904
133,7.5159
134,7.1210165
135,5.334069
136,5.334069
137,5.2065177
138,4.2746997
139,4.01405
140,3.8263505
141,3.1195455
142,3.1195455
143,2.8524826
144,2.7075694
145,2.7075694
146,1.680443
147,1.1781034
148,1.1781034
149,1.1781034
150,1.1781034
151,1.095081
152,1.0702268
153,0.9473607
154,0.8571197
155,0.72106946
156,0.62481815
157,0.595485
158,0.55471843
159,0.48681685
160,0.4769447
161,0.42512608
162,0.34493688
163,0.2660282
164,0.22594684
165,0.21941587
166,0.19957013
167,0.12701073
168,0.098594554
169,0.098594554
170,0.07136603
171,0.06336425
172,0.049132165
173,0.03976826
174,0.03976826
175,0.037285253
176,0.030960588
177,0.024794603
178,0.020193689
179,0.018133085
180,0.011607708
181,0.011607708
182,0.011606242
183,0.010176549
184,0.009356587
185,0.0069740256
186,0.0058856914
187,0.004686647
188,0.0043554734
189,0.004162845
190,0.003562923
191,0.0029013916
192,0.0029013916
193,0.0023600487
194,0.0017384542
195,0.0015041158
196,0.0013373353
197,0.0013373353
198,9.495033E-4
199,8.423739E-4
200,7.5295847E-4
201,6.9349125E-4
202,6.9349125E-4
203,5.37475E-4
204,5.074042E-4
205,3.653406E-4
206,2.7960804E-4
207,2.5226726E-4
208,2.513925E-4
209,1.5559843E-4
210,1.5559843E-4
211,1.5559843E-4
212,1.4653656E-4
213,1.250076E-4
214,1.11417394E-4
215,1.0559974E-4
216,1.0063335E-4
217,6.914168E-5
218,6.209486E-5
219,5.1730076E-5
220,3.7477632E-5
221,3.2189724E-5
222,2.8576578E-5
223,2.2086486E-5
224,1.9798921E-5
225,1.6524758E-5
226,1.6029348E-5
227,1.3441303E-5
228,1.2974085E-5
229,1.0842136E-5
230,1.0726355E-5
231,1.03530865E-5
232,9.195316E-6
233,8.0773925E-6
234,6.970299E-6
235,4.53814E-6
236,4.53814E-6
237,3.665268E-6
238,2.7108551E-6
239,1.8712444E-6
240,1.4573476E-6
241,1.0702804E-6
242,8.9096983E-7
243,8.892742E-7
244,7.9776174E-7
245,7.0484333E-7
246,6.4153056E-7
247,5.5868014E-7
248,5.090222E-7
249,4.4215855E-7
250,3.2916796E-7
251,2.934779E-7
252,2.5155867E-7
253,2.4636535E-7
254,2.377453E-7
255,2.2472781E-7
256,2.0527452E-7
257,1.9598214E-7
258,1.8106692E-7
259,1.725858E-7
260,1.5639935E-7
261,1.376547E-7
262,1.1006817E-7
263,8.931849E-8
264,6.835174E-8
265,4.727411E-8
266,3.3392183E-8
267,2.2624016E-8
268,1.9347677E-8
269,1.5699587E-8
270,1.253246E-8
271,1.1256393E-8
272,9.290996E-9
273,7.23691E-9
274,5.96002E-9
275,5.662811E-9
276,5.4108393E-9
277,4.7817825E-9
278,4.053597E-9
279,3.5238292E-9
280,3.3070684E-9
281,3.1957896E-9
282,2.7440605E-9
283,2.2683644E-9
284,2.1909643E-9
285,2.144869E-9
286,1.986268E-9
287,1.7934689E-9
288,1.5084555E-9
289,1.4862228E-9
290,1.4136236E-9
291,1.3679068E-9
292,1.3204471E-9
293,1.2776934E-9
294,1.2438293E-9
295,1.2227179E-9
296,1.1315585E-9
297,1.0644841E-9
298,1.0070998E-9
299,8.920684E-10
