Step,Value
0,14961.866
1,12501.194
2,12501.194
3,12501.194
4,12501.194
5,12501.194
6,12501.194
7,12501.194
8,12501.194
9,12501.194
10,12501.194
11,11479.44
12,11142.808
13,11142.808
14,11142.808
15,10916.381
16,9847.298
17,9132.53
18,9132.53
19,7973.4604
20,7973.4604
21,7170.759
22,7170.759
23,6523.369
24,5217.555
25,4668.913
26,4447.2075
27,4238.479
28,4238.479
29,4197.4307
30,4197.4307
31,3717.695
32,3717.695
33,3717.695
34,3717.695
35,3717.695
36,3717.695
37,3360.592
38,3360.592
39,3360.592
40,3184.463
41,3184.463
42,3184.463
43,3184.463
44,3184.463
45,3184.463
46,3184.463
47,3184.463
48,3184.463
49,3184.463
50,3184.463
51,3184.463
52,3184.463
53,3184.463
54,3184.463
55,3184.463
56,3184.463
57,3184.463
58,3184.463
59,3184.463
60,3184.463
61,3184.463
62,3184.463
63,3184.463
64,3184.463
65,3111.68
66,2529.5789
67,2296.124
68,2208.4646
69,1954.889
70,1954.889
71,1936.2865
72,1936.2865
73,1936.2865
74,1878.5487
75,1878.5487
76,1878.5487
77,1853.6913
78,1853.6913
79,1722.7606
80,1722.7606
81,1649.5599
82,1649.5599
83,1649.5599
84,1649.5599
85,1649.5599
86,1334.299
87,1257.4233
88,1145.662
89,1018.36914
90,950.2861
91,950.2861
92,950.2861
93,950.2861
94,950.2861
95,886.6391
96,644.3844
97,593.0327
98,593.0327
99,593.0327
100,421.18588
101,331.84695
102,331.84695
103,313.99945
104,298.0323
105,285.62717
106,276.5013
107,238.99496
108,202.46545
109,201.7583
110,201.1009
111,184.87271
112,147.58073
113,143.04118
114,85.31516
115,78.84556
116,68.754425
117,65.00235
118,45.861977
119,45.861977
120,45.861977
121,45.861977
122,37.307228
123,31.633606
124,27.71956
125,22.99035
126,22.99035
127,22.99035
128,22.99035
129,22.314322
130,22.283766
131,14.62539
132,12.78559
133,12.78559
134,9.791691
135,8.729362
136,7.9933124
137,7.3673983
138,5.6766343
139,5.675249
140,5.285165
141,4.0505576
142,3.3939984
143,2.6954594
144,2.5148816
145,2.401859
146,2.2327642
147,2.2327642
148,2.2327642
149,1.9019401
150,1.8096968
151,1.7254248
152,1.4496502
153,1.4496502
154,1.1544518
155,1.1544518
156,1.1072477
157,1.0714618
158,0.78220373
159,0.78220373
160,0.6569584
161,0.5703442
162,0.47355098
163,0.36672783
164,0.36672783
165,0.2917423
166,0.21823998
167,0.1742506
168,0.16756208
169,0.13048773
170,0.13048773
171,0.08666592
172,0.07352887
173,0.06329954
174,0.04412284
175,0.04412284
176,0.036947776
177,0.036357667
178,0.026925234
179,0.026925234
180,0.026925234
181,0.021428322
182,0.016402505
183,0.015707098
184,0.012613843
185,0.0114449505
186,0.009396869
187,0.0073634456
188,0.0054920274
189,0.0054920274
190,0.0054920274
191,0.004655088
192,0.0036805023
193,0.0036805023
194,0.0026418348
195,0.0026418348
196,0.002383306
197,0.0019815646
198,0.0018152389
199,0.0012300703
200,0.0011593398
201,8.7075727E-4
202,8.6063857E-4
203,8.168486E-4
204,7.7382644E-4
205,5.708722E-4
206,5.697426E-4
207,4.2130332E-4
208,3.2724522E-4
209,2.6819576E-4
210,2.0815921E-4
211,1.6679666E-4
212,1.6250684E-4
213,1.4871686E-4
214,1.3239738E-4
215,1.0986469E-4
216,8.251735E-5
217,8.251735E-5
218,5.7539986E-5
219,5.0128467E-5
220,4.193739E-5
221,3.291301E-5
222,2.9162771E-5
223,2.1045797E-5
224,1.7633292E-5
225,1.7085069E-5
226,1.054892E-5
227,1.0239847E-5
228,7.6200768E-6
229,6.356054E-6
230,4.5453867E-6
231,3.3810916E-6
232,3.3345536E-6
233,2.655985E-6
234,2.1777573E-6
235,1.5992582E-6
236,1.2981922E-6
237,1.2559705E-6
238,1.0366715E-6
239,1.0366715E-6
240,9.1308993E-7
241,7.315617E-7
242,6.099976E-7
243,5.50482E-7
244,4.6192554E-7
245,4.2499417E-7
246,3.7112218E-7
247,3.1214537E-7
248,2.820566E-7
249,2.2441493E-7
250,1.6478955E-7
251,8.726941E-8
252,6.925957E-8
253,6.925957E-8
254,6.859472E-8
255,6.729159E-8
256,6.545556E-8
257,5.2164744E-8
258,3.870551E-8
259,3.72761E-8
260,3.4605957E-8
261,3.120746E-8
262,2.5814494E-8
263,1.8726535E-8
264,1.6920044E-8
265,1.041331E-8
266,7.48891E-9
267,5.5883858E-9
268,5.224139E-9
269,4.468686E-9
270,3.2334104E-9
271,3.0427347E-9
272,2.6730353E-9
273,1.9806954E-9
274,1.7673366E-9
275,1.6177031E-9
276,1.487397E-9
277,1.2999443E-9
278,1.2089016E-9
279,1.0425404E-9
280,8.6802254E-10
281,8.262426E-10
282,6.27876E-10
283,5.5686433E-10
284,4.686313E-10
285,4.030936E-10
286,3.8020823E-10
287,3.4708744E-10
288,2.847497E-10
289,2.5707778E-10
290,2.4203622E-10
291,1.9890709E-10
292,1.6371347E-10
293,1.3876661E-10
294,1.2765744E-10
295,1.1942107E-10
296,1.09794736E-10
297,9.966262E-11
298,9.162993E-11
299,8.529378E-11
