Step,Value
0,13994.831
1,13994.831
2,13994.831
3,13994.831
4,13994.831
5,13994.831
6,13152.114
7,13152.114
8,13152.114
9,13152.114
10,13152.114
11,13152.114
12,13152.114
13,13152.114
14,13152.114
15,13152.114
16,13152.114
17,13152.114
18,13152.114
19,13152.114
20,13152.114
21,13152.114
22,13152.114
23,13152.114
24,13152.114
25,13152.114
26,13152.114
27,13152.114
28,13152.114
29,13152.114
30,13152.114
31,13152.114
32,13152.114
33,13152.114
34,13152.114
35,13152.114
36,13152.114
37,13152.114
38,13152.114
39,13152.114
40,13152.114
41,13152.114
42,13152.114
43,13152.114
44,13152.114
45,13152.114
46,13152.114
47,13152.114
48,13152.114
49,13152.114
50,12140.552
51,12140.552
52,11767.687
53,11293.967
54,9836.76
55,9836.76
56,9836.76
57,9836.76
58,9836.76
59,9836.76
60,9272.686
61,8812.133
62,8336.322
63,8175.0176
64,8175.0176
65,8175.0176
66,8175.0176
67,8175.0176
68,8175.0176
69,6860.3706
70,6860.3706
71,6860.3706
72,6860.3706
73,6860.3706
74,6860.3706
75,6570.4434
76,6570.4434
77,6570.4434
78,6570.4434
79,6570.4434
80,6570.4434
81,6570.4434
82,6570.4434
83,5767.3086
84,5767.3086
85,5767.3086
86,5767.3086
87,5604.5483
88,5536.2827
89,5536.2827
90,5517.941
91,5495.057
92,5491.3774
93,5491.3774
94,5491.3774
95,5076.3345
96,5076.3345
97,5076.3345
98,5076.3345
99,4706.544
100,4706.544
101,4706.544
102,4706.544
103,4706.544
104,4706.544
105,4706.544
106,4706.544
107,4585.833
108,4529.5664
109,4529.5664
110,4529.5664
111,4430.9043
112,3740.5984
113,3740.5984
114,3459.0403
115,3459.0403
116,3272.8882
117,3088.103
118,3088.103
119,3088.103
120,2923.4111
121,2519.5708
122,2363.5366
123,2363.5366
124,2285.476
125,1823.226
126,1820.9763
127,1820.9763
128,1760.1989
129,1760.1989
130,1760.1989
131,1516.0979
132,1493.4597
133,1350.2224
134,1043.2716
135,930.45715
136,930.45715
137,930.45715
138,870.9932
139,806.0468
140,806.0468
141,804.8571
142,745.76025
143,673.5379
144,673.5379
145,654.3444
146,638.80865
147,616.06805
148,559.0963
149,506.77722
150,478.13226
151,396.88715
152,372.99246
153,361.37967
154,304.94336
155,294.88602
156,262.8466
157,239.61493
158,235.52774
159,217.48952
160,207.15588
161,204.17644
162,184.62604
163,166.99603
164,148.12395
165,148.12395
166,148.12395
167,147.78065
168,146.18872
169,146.18872
170,115.73482
171,103.05998
172,88.23038
173,71.30887
174,66.54893
175,59.791687
176,51.406826
177,49.491135
178,43.946575
179,43.946575
180,40.750458
181,37.873997
182,35.465
183,30.05045
184,27.416964
185,23.373802
186,21.32292
187,18.801683
188,15.4750595
189,15.3205385
190,14.4482155
191,14.4482155
192,12.848376
193,11.224038
194,10.666232
195,9.731931
196,9.2447
197,9.2447
198,9.034298
199,8.546414
200,7.4105806
201,7.1515193
202,6.5630136
203,6.063881
204,5.3474293
205,5.3474293
206,5.2441306
207,5.064977
208,5.064977
209,5.043238
210,5.000958
211,4.677474
212,4.6131463
213,4.5622168
214,4.473699
215,4.4497247
216,4.4104834
217,4.3414135
218,4.24133
219,4.1910605
220,4.1379933
221,4.1102314
222,4.0696363
223,3.9709344
224,3.8662336
225,3.7120647
226,3.5723612
227,3.4320793
228,3.310319
229,3.1592739
230,3.0416942
231,2.8929458
232,2.7215157
233,2.5362732
234,2.364699
235,2.234577
236,2.111581
237,2.0251238
238,1.9014405
239,1.8342291
240,1.7743351
241,1.7664083
242,1.7576828
243,1.7489327
244,1.7397683
245,1.7345841
246,1.7279159
247,1.7235659
248,1.717358
249,1.7098292
250,1.7043372
251,1.7011073
252,1.6906228
253,1.6805516
254,1.671806
255,1.6640942
256,1.6548164
257,1.6469343
258,1.6399391
259,1.6322186
260,1.6239887
261,1.6166497
262,1.6095029
263,1.6018143
264,1.5949392
265,1.5874245
266,1.5807012
267,1.570231
268,1.5591022
269,1.5476639
270,1.5331287
271,1.5150456
272,1.5012459
273,1.4819741
274,1.4554365
275,1.4107947
276,1.3753967
277,1.3388473
278,1.3011739
279,1.2836388
280,1.2835064
281,1.282743
282,1.2824305
283,1.2818439
284,1.2816564
285,1.2813303
286,1.280981
287,1.2806473
288,1.2801208
289,1.2797325
290,1.2790018
291,1.2784914
292,1.2778271
293,1.2772949
294,1.276839
295,1.2765168
296,1.2762706
297,1.2759669
298,1.275652
299,1.2754425
