Step,Value
0,28907.12
1,25010.848
2,25010.848
3,25010.848
4,25010.848
5,25010.848
6,25010.848
7,25010.848
8,11534.336
9,11534.336
10,11534.336
11,11534.336
12,11534.336
13,11534.336
14,11534.336
15,11534.336
16,11534.336
17,11534.336
18,11534.336
19,11534.336
20,11534.336
21,11534.336
22,11534.336
23,11534.336
24,11534.336
25,11534.336
26,11534.336
27,11534.336
28,11534.336
29,11534.336
30,11534.336
31,11534.336
32,5034.457
33,5034.457
34,4381.1533
35,4381.1533
36,4381.1533
37,4381.1533
38,4381.1533
39,4381.1533
40,4381.1533
41,4381.1533
42,4381.1533
43,4381.1533
44,4381.1533
45,4381.1533
46,4381.1533
47,4381.1533
48,4381.1533
49,4381.1533
50,4381.1533
51,4381.1533
52,4381.1533
53,4381.1533
54,4381.1533
55,4381.1533
56,4381.1533
57,4381.1533
58,3745.5676
59,3431.2698
60,3373.825
61,3373.825
62,3373.825
63,3373.825
64,3373.825
65,3373.825
66,3362.025
67,3357.582
68,3357.582
69,3357.582
70,3343.3242
71,3333.6797
72,3333.6797
73,3333.6797
74,3333.6797
75,3333.6797
76,3328.5671
77,3078.3594
78,3078.3594
79,3078.3594
80,3078.3594
81,2799.838
82,2799.838
83,2651.4082
84,2576.3062
85,2576.3062
86,2576.3062
87,2495.0825
88,1844.3977
89,1528.0205
90,1528.0205
91,1528.0205
92,1528.0205
93,1528.0205
94,1528.0205
95,1528.0205
96,1528.0205
97,1526.1091
98,1320.9518
99,1064.4833
100,1040.7385
101,1040.7385
102,842.0373
103,842.0373
104,842.0373
105,774.7814
106,740.784
107,616.76074
108,404.583
109,338.22705
110,338.22705
111,338.22705
112,338.22705
113,338.22705
114,327.38232
115,298.71518
116,214.99904
117,177.90945
118,168.34251
119,168.34251
120,166.59622
121,166.59622
122,166.59622
123,120.02242
124,102.851006
125,102.851006
126,102.851006
127,99.04594
128,77.718475
129,77.718475
130,77.718475
131,63.986343
132,63.986343
133,63.152256
134,50.629898
135,39.56307
136,39.56307
137,39.56307
138,39.56307
139,39.56307
140,34.138615
141,32.997902
142,32.03502
143,27.472597
144,22.580732
145,20.332882
146,18.843246
147,18.843246
148,17.045052
149,17.045052
150,16.051613
151,14.851131
152,14.851131
153,14.413923
154,13.444217
155,12.715234
156,12.700275
157,12.700275
158,10.780468
159,9.431048
160,9.175273
161,6.7826056
162,5.618269
163,3.1942282
164,2.9354506
165,1.7890311
166,1.6789786
167,1.6789786
168,1.517895
169,1.2417963
170,1.1367242
171,0.67329025
172,0.67329025
173,0.5238875
174,0.5238875
175,0.5238875
176,0.48066455
177,0.29750884
178,0.27010557
179,0.27010557
180,0.27010557
181,0.23262553
182,0.21014741
183,0.19523185
184,0.19523185
185,0.14604266
186,0.14377293
187,0.12567532
188,0.12345773
189,0.111785136
190,0.09813454
191,0.089373894
192,0.089373894
193,0.07656844
194,0.07525584
195,0.073732585
196,0.07195689
197,0.07195689
198,0.06406394
199,0.06400449
200,0.06088197
201,0.056342356
202,0.05543113
203,0.04898192
204,0.045849778
205,0.044139724
206,0.042293623
207,0.041993443
208,0.040417526
209,0.036166377
210,0.031895176
211,0.030908125
212,0.02939236
213,0.028404094
214,0.027628187
215,0.027285803
216,0.026876114
217,0.026328936
218,0.02547217
219,0.02523626
220,0.024450544
221,0.024079036
222,0.023262592
223,0.022848394
224,0.022806136
225,0.022126079
226,0.021068534
227,0.02030752
228,0.019500822
229,0.018783389
230,0.018455613
231,0.017537555
232,0.017223371
233,0.016268691
234,0.015459743
235,0.014158002
236,0.013068153
237,0.011771288
238,0.009914425
239,0.0077268328
240,0.005747719
241,0.0038166938
242,0.0025413772
243,0.0018405224
244,0.0015834889
245,0.0014032545
246,0.0013463009
247,0.0011479439
248,9.239893E-4
249,7.872247E-4
250,6.817354E-4
251,5.7723984E-4
252,5.268704E-4
253,4.9602473E-4
254,4.4585328E-4
255,4.0332938E-4
256,3.7303168E-4
257,3.7303168E-4
258,3.5740167E-4
259,3.456532E-4
260,3.3951655E-4
261,3.2767066E-4
262,3.219573E-4
263,3.0655274E-4
264,2.9850155E-4
265,2.8707698E-4
266,2.7478093E-4
267,2.6972967E-4
268,2.6521806E-4
269,2.579988E-4
270,2.5269E-4
271,2.454025E-4
272,2.3943017E-4
273,2.3348047E-4
274,2.2671474E-4
275,2.2144766E-4
276,2.163651E-4
277,2.1084158E-4
278,2.06734E-4
279,2.0226084E-4
280,1.9712574E-4
281,1.9208311E-4
282,1.872743E-4
283,1.8538415E-4
284,1.8507853E-4
285,1.8450271E-4
286,1.8358676E-4
287,1.8327084E-4
288,1.8312641E-4
289,1.8250792E-4
290,1.8174837E-4
291,1.8121384E-4
292,1.8054536E-4
293,1.7981007E-4
294,1.7902337E-4
295,1.78116E-4
296,1.7722153E-4
297,1.761616E-4
298,1.7510938E-4
299,1.7402862E-4
