Step,Value
0,17081.121
1,13295.099
2,8625.062
3,7830.5444
4,5423.0566
5,4968.6216
6,4232.225
7,4071.489
8,3683.91
9,3506.3833
10,3400.5808
11,3291.6375
12,3228.383
13,3186.865
14,3155.8428
15,3128.521
16,3106.05
17,3095.2876
18,3078.0222
19,3071.289
20,3062.69
21,3056.2925
22,3049.972
23,3047.405
24,3043.2173
25,3041.3792
26,3039.7202
27,3038.3303
28,3037.1887
29,3036.3635
30,3035.5017
31,3035.0747
32,3034.5322
33,3034.1558
34,3033.93
35,3033.7502
36,3033.5798
37,3033.4155
38,3033.262
39,3033.1892
40,3033.1287
41,3033.071
42,3033.0312
43,3033.0032
44,3032.9514
45,3032.93
46,3032.8965
47,3032.8801
48,3032.8508
49,3032.837
50,3032.8237
51,3032.8113
52,3032.805
53,3032.7993
54,3032.7964
55,3032.7915
56,3032.7893
57,3032.7874
58,3032.7856
59,3032.7847
60,3032.7837
61,3032.7827
62,3032.7822
63,3032.7812
64,3032.7808
65,3032.7803
66,3032.78
67,3032.7798
68,3032.7795
69,3032.7793
70,3032.779
71,3032.779
72,3032.779
73,3032.779
74,3032.779
75,3032.779
76,3032.779
77,3032.779
78,3032.779
79,3032.779
80,3032.779
81,3032.779
82,3032.779
83,3032.779
84,3032.779
85,3032.779
86,3032.779
87,3032.779
88,3032.779
89,3032.779
90,3032.779
91,3032.779
92,3032.779
93,3032.779
94,3032.779
95,3032.779
96,3032.779
97,3032.779
98,3032.779
99,3032.779
100,3032.779
101,3032.779
102,3032.779
103,3032.779
104,3032.779
105,3032.779
106,3032.779
107,3032.779
108,3032.779
109,3032.779
110,3032.779
111,3032.779
112,3032.779
113,3032.779
114,3032.779
115,3032.779
116,3032.779
117,3032.779
118,3032.779
119,3032.779
120,3032.779
121,3032.779
122,3032.779
123,3032.779
124,3032.779
125,3032.779
126,3032.779
127,3032.779
128,3032.779
129,3032.779
130,3032.779
131,3032.779
132,3032.779
133,3032.779
134,3032.779
135,3032.779
136,3032.779
137,3032.779
138,3032.779
139,3032.779
140,3032.779
141,3032.779
142,3032.779
143,3032.779
144,3032.779
145,3032.779
146,3032.779
147,3032.779
148,3032.779
149,3032.779
150,3032.779
151,3032.779
152,3032.779
153,3032.779
154,3032.779
155,3032.779
156,3032.779
157,3032.779
158,3032.779
159,3032.779
160,3032.779
161,3032.779
162,3032.779
163,3032.779
164,3032.779
165,3032.779
166,3032.779
167,3032.779
168,3032.779
169,3032.779
170,3032.779
171,3032.779
172,3032.779
173,3032.779
174,3032.779
175,3032.779
176,3032.779
177,3032.779
178,3032.779
179,3032.779
180,3032.779
181,3032.779
182,3032.779
183,3032.779
184,3032.779
185,3032.779
186,3032.779
187,3032.779
188,3032.779
189,3032.779
190,3032.779
191,3032.779
192,3032.779
193,3032.779
194,3032.779
195,3032.779
196,3032.779
197,3032.779
198,3032.779
199,3032.779
200,3032.779
201,3032.779
202,3032.779
203,3032.779
204,3032.779
205,3032.779
206,3032.779
207,3032.779
208,3032.779
209,3032.779
210,3032.779
211,3032.779
212,3032.779
213,3032.779
214,3032.779
215,3032.779
216,3032.779
217,3032.779
218,3032.779
219,3032.779
220,3032.779
221,3032.779
222,3032.779
223,3032.779
224,3032.779
225,3032.779
226,3032.779
227,3032.779
228,3032.779
229,3032.779
230,3032.779
231,3032.779
232,3032.779
