Step,Value
0,26598.693
1,26598.693
2,20748.918
3,20748.918
4,17947.861
5,17947.861
6,17947.861
7,17947.861
8,17947.861
9,17947.861
10,17583.963
11,17583.963
12,17583.963
13,17583.963
14,15698.783
15,15698.783
16,15698.783
17,15698.783
18,15698.783
19,15698.783
20,15698.783
21,15698.783
22,15698.783
23,15698.783
24,15698.783
25,15698.783
26,15698.783
27,15698.783
28,15698.783
29,15698.783
30,15698.783
31,15698.783
32,15698.783
33,15698.783
34,15698.783
35,15698.783
36,15698.783
37,15698.783
38,15698.783
39,15698.783
40,15698.783
41,15698.783
42,15698.783
43,15698.783
44,15698.783
45,15698.783
46,15698.783
47,15698.783
48,15698.783
49,15698.783
50,15698.783
51,15698.783
52,15698.783
53,15698.783
54,15698.783
55,15698.783
56,15698.783
57,15698.783
58,15698.783
59,15698.783
60,15698.783
61,15698.783
62,15698.783
63,15698.783
64,15698.783
65,15698.783
66,15698.783
67,15698.783
68,15698.783
69,15698.783
70,15698.783
71,15698.783
72,15698.783
73,15698.783
74,15698.783
75,15698.783
76,15698.783
77,15698.783
78,15698.783
79,15698.783
80,15698.783
81,15698.783
82,15698.783
83,15698.783
84,15698.783
85,15698.783
86,15698.783
87,15698.783
88,15698.783
89,15698.783
90,15698.783
91,15698.783
92,15698.783
93,14512.95
94,14512.95
95,14512.95
96,14512.95
97,14512.95
98,14512.95
99,14512.95
100,14512.95
101,14512.95
102,14512.95
103,14512.95
104,14512.95
105,14512.95
106,14512.95
107,14512.95
108,14512.95
109,14285.944
110,14285.944
111,13991.25
112,13991.25
113,13991.25
114,11793.654
115,11793.654
116,11793.654
117,11793.654
118,11793.654
119,11793.654
120,11793.654
121,11793.654
122,11793.654
123,11793.654
124,11793.654
125,11793.654
126,11793.654
127,11793.654
128,11793.654
129,10599.172
130,10599.172
131,10599.172
132,10599.172
133,10599.172
134,10599.172
135,10599.172
136,10235.162
137,10235.162
138,10235.162
139,10191.747
140,10191.747
141,10098.68
142,9638.021
143,8285.172
144,7691.701
145,6506.092
146,5876.823
147,5876.823
148,5845.6753
149,5845.6753
150,5845.6753
151,5221.5225
152,5221.5225
153,4491.8267
154,4262.0723
155,4237.266
156,4237.266
157,3982.5417
158,3982.5417
159,3982.5417
160,3982.5417
161,3982.5417
162,3982.5417
163,3239.4702
164,3072.3445
165,3072.3445
166,2699.5295
167,2699.5295
