Step,Value
0,394.6499
1,394.6499
2,394.6499
3,382.89426
4,382.89426
5,351.78656
6,351.78656
7,351.78656
8,351.78656
9,351.78656
10,351.78656
11,351.78656
12,351.78656
13,351.78656
14,351.78656
15,351.78656
16,351.78656
17,351.78656
18,351.78656
19,351.78656
20,351.78656
21,351.78656
22,351.78656
23,351.78656
24,351.78656
25,351.78656
26,351.78656
27,351.78656
28,351.78656
29,351.78656
30,351.78656
31,351.78656
32,348.86935
33,348.86935
34,348.86935
35,348.50067
36,348.50067
37,348.50067
38,348.50067
39,347.59488
40,347.59488
41,347.59488
42,347.59488
43,347.59488
44,347.59488
45,347.59488
46,347.59488
47,347.59488
48,346.93604
49,346.93604
50,346.93604
51,346.93604
52,346.93604
53,346.93604
54,346.93604
55,346.93604
56,346.93604
57,346.93604
58,346.93604
59,346.93604
60,346.93604
61,346.93604
62,346.93604
63,346.93604
64,346.93604
65,346.93604
66,346.7698
67,346.7698
68,346.7698
69,346.7698
70,346.7698
71,346.7698
72,346.7698
73,346.7698
74,346.7698
75,346.7698
76,346.7698
77,346.7698
78,346.7698
79,346.7698
80,346.7698
81,346.7698
82,346.7698
83,346.7698
84,346.7698
85,346.7698
86,346.3588
87,346.3576
88,346.3576
89,346.3576
90,346.15402
91,345.9012
92,345.74936
93,345.65533
94,345.59558
95,345.55664
96,345.53082
97,345.51343
98,345.5016
99,345.49353
100,345.4879
101,345.48404
102,345.48138
103,345.47946
104,345.47815
105,345.47726
106,345.47662
107,345.47617
108,345.47586
109,345.47565
110,345.47546
111,345.47537
112,345.47528
113,345.47522
114,345.4752
115,345.47516
116,345.47516
117,345.47516
118,345.47516
119,345.47513
120,345.4751
121,345.4751
122,345.4751
123,345.4751
124,345.4751
125,345.4751
126,345.4751
127,345.4751
128,345.47507
129,345.47504
130,345.47504
131,345.47504
132,345.47504
133,345.47504
134,345.47504
135,345.47504
136,345.47504
137,345.47504
138,345.47504
139,345.47504
140,345.47504
141,345.47504
142,345.47504
143,345.47504
144,345.47504
145,345.47504
146,345.47504
147,345.47504
148,345.47504
149,345.47504
150,345.47504
151,345.47504
152,345.47504
153,345.47504
154,345.47504
155,345.47504
156,345.47504
157,345.47504
158,345.47504
159,345.47504
160,345.47504
161,345.47504
162,345.47504
163,345.47504
164,345.47504
165,345.47504
166,345.47504
167,345.47504
168,345.47504
169,345.47504
170,345.47504
171,345.47504
172,345.47504
173,345.47504
174,345.47504
175,345.47504
176,345.47504
177,345.47504
178,345.47504
179,345.47504
180,345.47504
181,345.47504
182,345.47504
183,345.47504
184,345.47504
185,345.47504
186,345.47504
187,345.47504
188,345.47504
189,345.47504
190,345.47504
191,345.47504
192,345.47504
193,345.47504
194,345.47504
195,345.47504
196,345.47504
197,345.47504
198,345.47504
199,345.47504
200,345.47504
201,345.47504
202,345.47504
203,345.47504
204,345.47504
205,345.47504
206,345.47504
207,345.47504
208,345.47504
209,345.47504
210,345.47504
211,345.47504
212,345.47504
213,345.47504
214,345.47504
215,345.47504
216,345.47504
217,345.47504
218,345.47504
219,345.47504
220,345.47504
221,345.47504
222,345.47504
223,345.47504
224,345.47504
225,345.47504
226,345.47504
227,345.47504
228,345.47504
229,345.47504
230,345.47504
231,345.47504
232,345.47504
233,345.47504
234,345.47504
235,345.47504
236,345.47504
237,345.47504
238,345.47504
239,345.47504
240,345.47504
241,345.47504
242,345.47504
243,345.47504
244,345.47504
245,345.47504
246,345.47504
247,345.47504
248,345.47504
249,345.47504
250,345.47504
251,345.47504
252,345.47504
253,345.47504
254,345.47504
255,345.47504
256,345.47504
257,345.47504
258,345.47504
259,345.47504
260,345.47504
261,345.47504
262,345.47504
263,345.47504
264,345.47504
265,345.47504
266,345.47504
267,345.47504
268,345.47504
269,345.47504
270,345.47504
271,345.47504
272,345.47504
273,345.47504
274,345.47504
275,345.47504
276,345.47504
277,345.47504
278,345.47504
279,345.47504
280,345.47504
281,345.47504
282,345.47504
283,345.47504
284,345.47504
285,345.47504
286,345.47504
287,345.47504
288,345.47504
289,345.47504
290,345.47504
291,345.47504
292,345.47504
293,345.47504
294,345.47504
295,345.47504
296,345.47504
297,345.47504
298,345.47504
299,345.47504
300,345.47504
301,345.47504
302,345.47504
303,345.47504
304,345.47504
305,345.47504
306,345.47504
307,345.47504
308,345.47504
309,345.47504
310,345.47504
311,345.47504
312,345.47504
313,345.47504
314,345.47504
315,345.47504
316,345.47504
317,345.47504
318,345.47504
319,345.47504
320,345.47504
321,345.47504
322,345.47504
323,345.47504
324,345.47504
325,345.47504
326,345.47504
327,345.47504
328,345.47504
329,345.47504
330,345.47504
331,345.47504
332,345.47504
333,345.47504
334,345.47504
335,345.47504
336,345.47504
337,345.47504
338,345.47504
339,345.47504
340,345.47504
341,345.47504
342,345.47504
343,345.47504
344,345.47504
345,345.47504
346,345.47504
347,345.47504
348,345.47504
349,345.47504
350,345.47504
351,345.47504
352,345.47504
353,345.47504
354,345.47504
355,345.47504
356,345.47504
357,345.47504
358,345.47504
359,345.47504
360,345.47504
361,345.47504
362,345.47504
363,345.47504
364,345.47504
365,345.47504
366,345.47504
367,345.47504
368,345.47504
369,345.47504
370,345.47504
371,345.47504
372,345.47504
373,345.47504
374,345.47504
375,345.47504
376,345.47504
377,345.47504
378,345.47504
379,345.47504
380,345.47504
381,345.47504
382,345.47504
383,345.47504
384,345.47504
385,345.47504
386,345.47504
387,345.47504
388,345.47504
389,345.47504
390,345.47504
391,345.47504
392,345.47504
393,345.47504
394,345.47504
395,345.47504
396,345.47504
397,345.47504
398,345.47504
399,345.47504
400,345.47504
401,345.47504
402,345.47504
403,345.47504
404,345.47504
405,345.47504
406,345.47504
407,345.47504
408,345.47504
409,345.47504
410,345.47504
411,345.47504
412,345.47504
413,345.47504
414,345.47504
415,345.47504
416,345.47504
417,345.47504
418,345.47504
419,345.47504
420,345.47504
421,345.47504
422,345.47504
423,345.47504
424,345.47504
425,345.47504
426,345.47504
427,345.47504
428,345.47504
429,345.47504
430,345.47504
431,345.47504
432,345.47504
433,345.47504
434,345.47504
435,345.47504
436,345.47504
437,345.47504
438,345.47504
439,345.47504
440,345.47504
441,345.47504
442,345.47504
443,345.47504
444,345.47504
445,345.47504
446,345.47504
447,345.47504
448,345.47504
449,345.47504
450,345.47504
451,345.47504
452,345.47504
453,345.47504
454,345.47504
455,345.47504
456,345.47504
457,345.47504
458,345.47504
459,345.47504
460,345.47504
461,345.47504
462,345.47504
463,345.47504
464,345.47504
465,345.47504
466,345.47504
467,345.47504
468,345.47504
469,345.47504
470,345.47504
471,345.47504
472,345.47504
473,345.47504
474,345.47504
475,345.47504
476,345.47504
477,345.47504
478,345.47504
479,345.47504
480,345.47504
481,345.47504
482,345.47504
483,345.47504
484,345.47504
485,345.47504
486,345.47504
487,345.47504
488,345.47504
489,345.47504
490,345.47504
491,345.47504
492,345.47504
493,345.47504
494,345.47504
495,345.47504
496,345.47504
497,345.47504
498,345.47504
499,345.47504
500,345.47504
501,345.47504
502,345.47504
503,345.47504
504,345.47504
505,345.47504
506,345.47504
507,345.47504
508,345.47504
509,345.47504
510,345.47504
511,345.47504
512,345.47504
513,345.47504
514,345.47504
515,345.47504
516,345.47504
517,345.47504
518,345.47504
519,345.47504
520,345.47504
521,345.47504
522,345.47504
523,345.47504
524,345.47504
525,345.47504
526,345.47504
527,345.47504
528,345.47504
529,345.47504
530,345.47504
531,345.47504
532,345.47504
533,345.47504
534,345.47504
535,345.47504
536,345.47504
537,345.47504
538,345.47504
539,345.47504
540,345.47504
541,345.47504
542,345.47504
543,345.47504
544,345.47504
545,345.47504
546,345.47504
547,345.47504
548,345.47504
549,345.47504
550,345.47504
551,345.47504
552,345.47504
553,345.47504
554,345.47504
555,345.47504
556,345.47504
557,345.47504
558,345.47504
559,345.47504
560,345.47504
561,345.47504
562,345.47504
563,345.47504
564,345.47504
565,345.47504
566,345.47504
567,345.47504
568,345.47504
569,345.47504
570,345.47504
571,345.47504
572,345.47504
573,345.47504
574,345.47504
575,345.47504
576,345.47504
577,345.47504
578,345.47504
579,345.47504
580,345.47504
581,345.47504
582,345.47504
583,345.47504
584,345.47504
585,345.47504
586,345.47504
587,345.47504
588,345.47504
589,345.47504
590,345.47504
591,345.47504
592,345.47504
593,345.47504
594,345.47504
595,345.47504
596,345.47504
597,345.47504
598,345.47504
599,345.47504
600,345.47504
601,345.47504
602,345.47504
603,345.47504
604,345.47504
605,345.47504
606,345.47504
607,345.47504
608,345.47504
609,345.47504
610,345.47504
611,345.47504
612,345.47504
613,345.47504
614,345.47504
615,345.47504
616,345.47504
617,345.47504
618,345.47504
619,345.47504
620,345.47504
621,345.47504
622,345.47504
623,345.47504
624,345.47504
625,345.47504
626,345.47504
627,345.47504
628,345.47504
629,345.47504
630,345.47504
631,345.47504
632,345.47504
633,345.47504
634,345.47504
635,345.47504
636,345.47504
637,345.47504
638,345.47504
639,345.47504
640,345.47504
641,345.47504
642,345.47504
643,345.47504
644,345.47504
645,345.47504
646,345.47504
647,345.47504
648,345.47504
649,345.47504
650,345.47504
651,345.47504
652,345.47504
653,345.47504
654,345.47504
655,345.47504
656,345.47504
657,345.47504
658,345.47504
659,345.47504
660,345.47504
661,345.47504
662,345.47504
663,345.47504
664,345.47504
665,345.47504
666,345.47504
667,345.47504
668,345.47504
669,345.47504
670,345.47504
671,345.47504
672,345.47504
673,345.47504
674,345.47504
675,345.47504
676,345.47504
677,345.47504
678,345.47504
679,345.47504
680,345.47504
681,345.47504
682,345.47504
683,345.47504
684,345.47504
685,345.47504
686,345.47504
687,345.47504
688,345.47504
689,345.47504
690,345.47504
691,345.47504
692,345.47504
693,345.47504
694,345.47504
695,345.47504
696,345.47504
697,345.47504
698,345.47504
699,345.47504
700,345.47504
701,345.47504
702,345.47504
703,345.47504
704,345.47504
705,345.47504
706,345.47504
707,345.47504
708,345.47504
709,345.47504
710,345.47504
711,345.47504
712,345.47504
713,345.47504
714,345.47504
715,345.47504
716,345.47504
717,345.47504
718,345.47504
719,345.47504
720,345.47504
721,345.47504
722,345.47504
723,345.47504
724,345.47504
725,345.47504
726,345.47504
727,345.47504
728,345.47504
729,345.47504
730,345.47504
731,345.47504
732,345.47504
733,345.47504
734,345.47504
735,345.47504
736,345.47504
737,345.47504
738,345.47504
739,345.47504
740,345.47504
741,345.47504
742,345.47504
743,345.47504
744,345.47504
745,345.47504
746,345.47504
747,345.47504
748,345.47504
749,345.47504
750,345.47504
751,345.47504
752,345.47504
753,345.47504
754,345.47504
755,345.47504
756,345.47504
757,345.47504
758,345.47504
759,345.47504
760,345.47504
761,345.47504
762,345.47504
763,345.47504
764,345.47504
765,345.47504
766,345.47504
767,345.47504
768,345.47504
769,345.47504
770,345.47504
771,345.47504
772,345.47504
773,345.47504
774,345.47504
775,345.47504
776,345.47504
777,345.47504
778,345.47504
779,345.47504
780,345.47504
781,345.47504
782,345.47504
783,345.47504
784,345.47504
785,345.47504
786,345.47504
787,345.47504
788,345.47504
789,345.47504
790,345.47504
791,345.47504
792,345.47504
793,345.47504
794,345.47504
795,345.47504
796,345.47504
797,345.47504
798,345.47504
799,345.47504
800,345.47504
801,345.47504
802,345.47504
803,345.47504
804,345.47504
805,345.47504
806,345.47504
807,345.47504
808,345.47504
809,345.47504
810,345.47504
811,345.47504
812,345.47504
813,345.47504
814,345.47504
815,345.47504
816,345.47504
817,345.47504
818,345.47504
819,345.47504
820,345.47504
821,345.47504
822,345.47504
823,345.47504
824,345.47504
825,345.47504
826,345.47504
827,345.47504
828,345.47504
829,345.47504
830,345.47504
831,345.47504
832,345.47504
833,345.47504
834,345.47504
835,345.47504
836,345.47504
837,345.47504
838,345.47504
839,345.47504
840,345.47504
841,345.47504
842,345.47504
843,345.47504
844,345.47504
845,345.47504
846,345.47504
847,345.47504
848,345.47504
849,345.47504
850,345.47504
851,345.47504
852,345.47504
853,345.47504
854,345.47504
855,345.47504
856,345.47504
857,345.47504
858,345.47504
859,345.47504
860,345.47504
861,345.47504
862,345.47504
863,345.47504
864,345.47504
865,345.47504
866,345.47504
867,345.47504
868,345.47504
869,345.47504
870,345.47504
871,345.47504
872,345.47504
873,345.47504
874,345.47504
875,345.47504
876,345.47504
877,345.47504
878,345.47504
879,345.47504
880,345.47504
881,345.47504
882,345.47504
883,345.47504
884,345.47504
885,345.47504
886,345.47504
887,345.47504
888,345.47504
889,345.47504
890,345.47504
891,345.47504
892,345.47504
893,345.47504
894,345.47504
895,345.47504
896,345.47504
897,345.47504
898,345.47504
899,345.47504
900,345.47504
901,345.47504
902,345.47504
903,345.47504
904,345.47504
905,345.47504
906,345.47504
907,345.47504
908,345.47504
909,345.47504
910,345.47504
911,345.47504
912,345.47504
913,345.47504
914,345.47504
915,345.47504
916,345.47504
917,345.47504
918,345.47504
919,345.47504
920,345.47504
921,345.47504
922,345.47504
923,345.47504
924,345.47504
925,345.47504
926,345.47504
927,345.47504
928,345.47504
929,345.47504
930,345.47504
931,345.47504
932,345.47504
933,345.47504
934,345.47504
935,345.47504
936,345.47504
937,345.47504
938,345.47504
939,345.47504
940,345.47504
941,345.47504
942,345.47504
943,345.47504
944,345.47504
945,345.47504
946,345.47504
947,345.47504
948,345.47504
949,345.47504
950,345.47504
951,345.47504
952,345.47504
953,345.47504
954,345.47504
955,345.47504
956,345.47504
957,345.47504
958,345.47504
959,345.47504
960,345.47504
961,345.47504
962,345.47504
963,345.47504
964,345.47504
965,345.47504
966,345.47504
967,345.47504
968,345.47504
969,345.47504
970,345.47504
971,345.47504
972,345.47504
973,345.47504
974,345.47504
975,345.47504
976,345.47504
977,345.47504
978,345.47504
979,345.47504
